templateID	name	baseHP	growUpHP	baseACK	growUpACK	defense	maxWaitRound	skillList	skillLevel	starLv	country
模板ID	名称	基础血量	成长血量	基础攻击	成长攻击	防御	等待回合	技能列表	技能级别	卡牌星级	势力
1	夜叉行	300	36	85	10	0	2	1,0,33,14	0,0,2,1	1	1
2	长枪兵	330	15	95	16	0	2	1,24,33,48	0,1,3,4	1	1
3	元戎弩	370	8	110	18	0	2	1,0,22,6	0,0,4,2	1	1
4	骠刀骑	360	21	105	15	0	2	1,0,14,44	0,0,1,4	1	1
5	陈到	500	15	155	21	0	2	1,0,25,6	0,0,3,2	2	1
6	周仓	520	15	160	22	0	4	30,27	0,3,0	2	1
7	孙乾	460	36	125	15	0	4	1,54,33,55	0,3,6,5	2	1
8	糜竺	400	34	110	16	0	2	1,56,33,37	0,3,4,3	2	1
9	王平	520	20	110	15	0	4	1,24,22,47	0,3,5,3	2	1
10	关兴	620	25	180	20	0	4	1,25,41,45	0,2,2,5	3	1
11	关平	780	25	200	23	0	4	1,14,48,46	0,1,5,7	3	1
12	马岱	620	37	140	20	0	2	1,2,42,3	0,2,4,5	3	1
13	蒋琬	650	30	185	21	0	4	1,33,6,37	0,3,4,4	3	1
14	费祎	560	21	135	24	0	4	1,3,4,6	0,2,3,6	3	1
15	马谡	650	30	195	19	0	4	1,7,57,41	0,2,4,3	3	1
16	廖化	750	31	175	22	0	2	1,56,33,49	0,5,7,4	3	1
17	法正	550	40	130	16	0	4	1,9,10,17	0,2,4,4	3	1
18	张苞	600	20	170	30	0	4	1,17,41,33	0,3,2,5	3	1
19	魏延	540	32	170	24	0	4	30,25,22	2,5,0	3	1
20	黄忠	880	23	235	28	0	4	1,48,25,37	0,7,5,5	4	1
21	黄月英	800	66	175	15	0	4	1,56,55,49	0,7,6,5	4	1
22	赵云	1100	30	360	30	0	6	1,58,33,41	0,0,6,6	4	1
23	诸葛亮	790	37	210	24	0	6	1,33,3,58	0,6,5,0	4	1
24	徐庶	990	58	290	18	0	6	1,27,41,53	0,4,4,7	4	1
25	马超	815	18	260	30	0	4	1,25,28,47	0,4,5,8	4	1
26	庞统	820	50	220	12	0	4	1,47,58,18	0,3,0,8	4	1
27	姜维	840	20	240	22	0	4	1,42,37,3	0,5,5,8	4	1
28	关羽	900	35	290	27	0	4	1,25,58,49	0,4,0,6	4	1
29	张飞	780	27	255	22	0	6	1,33,53,42	0,6,7,3	4	1
30	刘备	1450	28	350	28	0	6	30,47,58	5,0,0	5	1
